City,Body_Type,Kilometers_driven,ownerNo,oem,model,modelYear,Displacement,variantName,Insurance Validity,No of Cylinder,Color,Values per Cylinder,Engine Type,Seats,Mileage_num,Torque_num,price_num,Power_num,Fuel Type_Diesel,Fuel Type_Electric,Fuel Type_LPG,Fuel Type_Petrol,Transmission_Manual,City_encode,Body_Type_encode,oem_encode,model_encode,variantName_encode,Insurance Validity_encode,Color_encode,Engine Type_encode
Bangalore,Sedan,17794,1,Hyundai,Hyundai Xcent,0.7631578947368425,1197,1.2 Kappa S Option,Comprehensive,4.0,Others,4.0,Kappa VTVT Petrol Engine,5,0.08754716981132075,113.75,-3.0764705026505235,81.86,False,False,False,True,True,0,3,6,34,28,1,53,102
Bangalore,SUV,60000,1,Maruti,Maruti SX4 S Cross,0.7894736842105203,1248,DDiS 200 Zeta,Third Party insurance,4.0,Gray,4.0,DDiS 200 Diesel Engine,5,0.12188679245283017,200.0,-2.521234662902088,88.5,True,False,False,False,True,0,2,11,51,358,4,34,60
Bangalore,Sedan,37000,1,Maruti,Maruti Ciaz,0.8684210526315752,1462,Alpha Automatic BSIV,Comprehensive,4.0,Maroon,4.0,k15B VVT Engine,5,0.09645283018867924,138.0,-2.321707480979381,103.25,False,False,False,True,False,0,3,11,45,311,1,40,170
Bangalore,Hatchback,50000,1,Maruti,Maruti Baleno,0.8684210526315752,1197,1.2 Delta,Third Party insurance,4.0,Red,4.0,VVT Petrol Engine,5,0.10490566037735848,115.0,-2.660378679976938,83.1,False,False,False,True,True,0,0,11,43,13,4,67,152
Bangalore,Hatchback,24887,1,Hyundai,Hyundai Grand i10,0.8947368421052602,1197,1.2 Kappa Sportz Option AT,Third Party insurance,4.0,Orange,4.0,Kappa VTVT Petrol Engine,5,0.08603773584905659,113.75,-2.6723937410365886,81.86,False,False,False,True,False,0,0,6,30,34,4,51,102
Bangalore,Hatchback,23000,1,Honda,Honda Jazz,0.8684210526315752,1199,VX CVT,Comprehensive,4.0,Grey,4.0,i-VTEC Petrol Engine,5,0.08075471698113208,110.0,-2.4767738075622785,88.7,False,False,False,True,False,0,0,5,24,644,1,36,167
Bangalore,Hatchback,65376,2,Hyundai,Hyundai i20,0.7631578947368425,1396,Asta 1.4 CRDi,Comprehensive,4.0,Blue,4.0,U2 CRDI Diesel Engine,5,0.1039245283018868,219.6,-2.9511313728250568,88.76,True,False,False,False,True,0,0,6,36,322,1,6,135
Bangalore,Sedan,67000,2,Honda,Honda City,0.8157894736842053,1497,i VTEC V,Comprehensive,4.0,Brown,4.0,i VTEC Engine,5,0.07773584905660379,145.0,-2.5409115835022176,117.3,False,False,False,True,True,0,3,5,22,770,1,9,162
Bangalore,Hatchback,18083,1,Maruti,Maruti Swift,0.8157894736842053,1197,VXI,Comprehensive,4.0,Silver,4.0,K Series Dual jet,5,0.11230188679245283,113.0,-2.836200732995148,88.5,False,False,False,True,True,0,0,11,52,656,1,69,83
Bangalore,SUV,30000,1,Renault,Renault Duster,0.9210526315789451,1498,RXS,Third Party insurance,4.0,Others,4.0,1.5L Petrol,5,0.06732075471698114,142.0,-2.192152616133281,104.55,False,False,False,True,True,0,2,14,64,513,4,53,33
Bangalore,Sedan,110000,1,Honda,Honda City,0.7894736842105203,1497,i VTEC V,Third Party insurance,4.0,Others,4.0,i VTEC Engine,5,0.07471698113207546,145.0,-2.8948428781654547,117.3,False,False,False,True,True,0,3,5,22,770,4,53,162
Bangalore,Sedan,50000,1,Hyundai,Hyundai Xcent,0.8684210526315752,1197,1.2 VTVT SX,Third Party insurance,4.0,Others,4.0,1.2L Kappa Dual VTVT Petrol,5,0.09539622641509433,113.75,-2.6845549211976296,81.86,False,False,False,True,True,0,3,6,34,66,4,53,12
Bangalore,Hatchback,89667,1,Hyundai,Hyundai i20,0.8157894736842053,1197,Sportz 1.2,Comprehensive,4.0,White,4.0,Kappa VTVT Petrol Engine,5,0.08377358490566038,114.7,-2.815067195807548,81.83,False,False,False,True,True,0,0,6,36,574,1,82,102
Bangalore,Hatchback,120000,1,Hyundai,Hyundai i20,0.8421052631578902,1396,Asta Option 1.4 CRDi,Third Party insurance,4.0,Others,4.0,U2 CRDI Diesel Engine,5,0.11350943396226414,219.7,-2.630957827946661,88.73,True,False,False,False,True,0,0,6,36,330,4,53,135
Bangalore,Hatchback,56997,1,Maruti,Maruti Baleno,0.8421052631578902,1197,1.2 Zeta,Zero Dep,4.0,Blue,4.0,VVT Petrol Engine,5,0.10490566037735848,115.0,-2.6573973364930303,83.1,False,False,False,True,True,0,0,11,43,75,5,6,152
Bangalore,Sedan,120000,1,Hyundai,Hyundai Elantra,0.7368421052631575,1797,SX,Third Party insurance,4.0,Others,4.0,Dual VTVT Petrol Engine,5,0.06641509433962264,177.5,-2.7219518338080375,147.5,False,False,False,True,True,0,3,6,29,545,4,53,71
Bangalore,Hatchback,44285,1,Hyundai,Hyundai i20,0.8947368421052602,1197,Magna Plus BSIV,Third Party insurance,4.0,Grey,4.0,Kappa VTVT Petrol Engine,5,0.08377358490566038,117.0,-2.623735900925731,81.86,False,False,False,True,True,0,0,6,36,480,4,36,102
Bangalore,Hatchback,36735,1,Hyundai,Hyundai Grand i10,0.8684210526315752,1197,1.2 Kappa Asta,Comprehensive,4.0,Blue,4.0,Kappa VTVT Petrol Engine,5,0.08603773584905659,113.75,-2.7624537580648796,81.86,False,False,False,True,True,0,0,6,30,19,1,6,102
Bangalore,SUV,53645,1,Tata,Tata Nexon,0.8684210526315752,1497,1.5 Revotorq XM,Comprehensive,4.0,White,4.0,"Revotorq, 1.5L Turbocharged engine",5,0.10566037735849056,260.0,-2.4767738075622785,108.5,True,False,False,False,True,0,2,16,77,153,1,82,111
Bangalore,Sedan,110000,1,Skoda,Skoda Rapid,0.7631578947368425,1498,1.5 TDI Ambition With Alloy Wheel,Third Party insurance,4.0,Black,4.0,Diesel Engine,5,0.10294339622641509,250.0,-2.6529419210742295,103.52,True,False,False,False,True,0,3,15,69,169,4,5,69
Bangalore,SUV,94000,1,Hyundai,Hyundai Creta,0.8421052631578902,1582,1.6 CRDi SX Plus,Comprehensive,4.0,Grey,4.0,U2 CRDI VGT Engine,5,0.09184905660377359,259.9,-2.098529669064784,126.2,True,False,False,False,True,0,2,6,28,209,1,36,138
Bangalore,Hatchback,54601,3,Maruti,Maruti Swift,0.7631578947368425,1197,VXI,Comprehensive,4.0,White,4.0,K Series Dual jet,5,0.11230188679245283,113.0,-3.12279234032581,88.5,False,False,False,True,True,0,0,11,52,656,1,82,83
Bangalore,Sedan,100000,1,Maruti,Maruti Ciaz,0.7894736842105203,1248,VDi Plus,Third Party insurance,4.0,White,4.0,DDIS 200 Engine,5,0.14120754716981132,200.0,-2.7219518338080375,88.5,True,False,False,False,True,0,3,11,45,627,4,82,57
Bangalore,Hatchback,44154,2,Honda,Honda Jazz,0.8157894736842053,1199,1.2 V AT i VTEC,Comprehensive,4.0,White,4.0,i-VTEC Petrol Engine,5,0.08679245283018867,110.0,-2.919684650960792,88.7,False,False,False,True,False,0,0,5,24,61,1,82,167
Bangalore,Hatchback,60000,2,Maruti,Maruti Ritz,0.7631578947368425,1197,VXi,Third Party insurance,4.0,Silver,4.0,K Series Petrol Engine,5,0.0830188679245283,114.0,-3.1763540988950605,85.8,False,False,False,True,True,0,0,11,49,668,4,69,84
Bangalore,Sedan,49873,1,Honda,Honda City,0.7368421052631575,1497,V MT,Third Party,4.0,Yellow,4.0,SOHC i-VTEC,5,0.07018867924528303,146.0,-2.927454109221479,116.3,False,False,False,True,True,0,3,5,22,617,3,84,118
